title,keySpecs,rating,ratingCount,price,url
"Neuherbs Deep Sea Fish oil Omega 3 , 60 softgels + Triple Tulsi Giloy+ 60 Tablets","['Omega Fatty Acids/Fish Oil Supplements', 'Softgel Form', 'Suitable For: Non-vegetarian, Vegetarian', 'Pack of 2']",0,0,1099,http://dl.flipkart.com/dl/neuherbs-deep-sea-fish-oil-omega-3-60-softgels-triple-tulsi-giloy-tablets/p/itm16f059bd083f9?pid=VSLG73HNPEZ8NWSG
Neuherbs Deep Sea Fish Oil 2500 Mg(Omega 3 1486 mg 892 mg EPA and 594 mg DHA per serving),"['Omega Fatty Acids/Fish Oil Supplements', 'Softgel Form', 'Suitable For: Non-vegetarian', 'Pack of 2']",4.4,1556,785,http://dl.flipkart.com/dl/neuherbs-deep-sea-fish-oil-2500-mg-omega-3-1486-mg-892-mg-epa-594-dha-per-serving/p/itm18f6e92afe744?pid=VSLG6TH6V3C4KGKB
